ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
210;Muito trabalho, muito legal também                                                                                                                                                                              ;1;3;3;2;1;1;2;11;5;3,42;0,91;1,01
211;Uma (Palavra incompreensível) boa                                                                                                                                                                              ;1;4;3;2;2;1;1;13;7;3,42;1,78;1,35
212;com um bom emprego, uma carreira profissiol promissora                                                                                                                                                        ;1;2;4;2;2;2;2;14;8;3,42;2,68;2,98
213;Imagino eu famoso no youtube                                                                                                                                                                                    ;1;4;4;2;2;1;2;13;6;3,42;2,78;2,95
214;Uma pessoa bem sucedida                                                                                                                                                                                         ;1;5;4;3;1;1;1;13;7;3,43;1,47;1,47
215;Uma vida ruim, uma vida paia Por conta dos problemas de agora, que podem afetar o futuro                                                                                                                       ;1;4;3;3;2;2;1;12;7;3,43;2,01;2,41
216;Não penso no futuro, vivo o presente                                                                                                                                                                            ;1;4;4;2;2;2;2;12;7;3,43;2,24;1,84
217;Morta                                                                                                                                                                                                           ;2;2;2;2;1;2;1;12;7;3,43;3,55;1,94
218;Morando com a minha melhor amiga, trabalhando e nos tempos vagos fazendo fotografias,                                                                                                                           ;1;3;4;2;2;1;1;13;8;3,43;4,45;2,12
219;Bem com o mundo, casa e minha família                                                                                                                                                                           ;1;4;5;2;1;1;1;12;7;3,44;1;1,04
220;Idealizo a minha vida futura bem desenvolvida fora do Brasil fazendo o meu sonho                                                                                                                                ;1;4;3;2;2;2;2;13;8;3,44;1,71;2,36
221;formada , ser rica                                                                                                                                                                                              ;;3;3;2;2;1;1;13;7;3,44;2,98;1,55
222;um bom emprego com linda familha                                                                                                                                                                                ;1;3;4;2;1;1;2;12;6;3,44;3,25;0,96
223;Ser veterinário, Ser um homem, bem de vida, para ajudar meus pais                                                                                                                                               ;1;4;4;2;1;2;2;11;6;3,45;1,32;1,8
224;boa no emprego bom                                                                                                                                                                                              ;1;4;2;2;2;1;2;13;8;3,45;2,88;1,72
225;Eu com muito dinheiro é uma massão,                                                                                                                                                                             ;1;3;1;2;2;2;2;12;6;3,45;2,97;2,01
226;Uma vida normal                                                                                                                                                                                                 ;2;3;3;2;2;1;2;12;7;3,45;4,76;1,61
227;Eu imagino minha vida estudando paraser médica porque é o que eu mais gosto                                                                                                                                     ;1;4;3;3;1;1;1;12;7;3,46;1,2;1,09
228;Morando em Orlando, muito rico e casado                                                                                                                                                                         ;1;3;3;2;2;2;2;11;7;3,46;1,22;1,69
229;;2;3;3;2;1;1;2;12;7;3,46;2,04;1,13
230;Uma casa com um marido e dois filhos                                                                                                                                                                            ;1;4;4;2;2;1;1;13;7;3,46;2,43;2,06
231;Casada, formada em alguma coisa, tendo minha casa e meu carro e com meus filhos,                                                                                                                                ;3;3;5;2;1;1;1;13;8;3,46;2,47;2,36
232;Ser bombeiro te uma casa carro dinheiro                                                                                                                                                                         ;1;4;5;3;1;;1;11;6;3,47;0,96;1,02
233;Eu imagino eu lutando no UFC,                                                                                                                                                                                   ;1;2;3;2;1;1;1;13;7;3,47;1,83;1,25
234;Me imagino bem de vida, com um emprego bom mais que eu tenha gosto de fazer e dá uma vida melhor pro meus pais                                                                                                  ;1;4;3;2;1;1;1;14;9;3,47;4;2,22
235;Um mestre pokemon                                                                                                                                                                                               ;1;3;3;2;1;1;2;14;7;3,48;1;1,38
236;quero um emprego digno e tenha uma família e uma boa saúde                                                                                                                                                      ;1;3;4;2;2;1;;11;8;3,48;1,26;1,28
237;eu imagino termir os meus estudos e ser juíza,                                                                                                                                                                ;1;4;4;2;1;1;1;12;7;3,48;1,46;1,21
238;"Sem doenças; bem estudado; vida finceira boa e tudo que a de bom no mundo, e que todos me respeite, e que eu respeite eles,                                                                                   ";1;3;3;2;2;1;2;14;9;3,49;4,5;2,15
239;Uma pessoa bem sucedida morando em um apartamento lindo e bem decorado,                                                                                                                                         ;1;3;3;2;2;2;1;14;9;3,5;2,3;2,63
240;                                                                                                                                                                                                                ;3;3;3;2;2;1;1;;9;3,5;2,34;3,01
241;Uma vida legal ganhando bem e formada em medici, cardiologista pediatra                                                                                                                                       ;1;3;2;1;2;1;1;12;7;3,5;3,95;2,32
242;xirugião                                                                                                                                                                                                        ;4;2;2;2;2;2;1;13;6;3,51;3,5;1,24
243;Imagino uma vida boa, um emprego baca e que eu goste de verdade, uma família grande e o mais importante ser feliz,                                                                                            ;1;4;4;3;1;1;1;14;9;3,52;3,95;3,68
244;Eu imagino com meu trabalho, com minha casa e minha família                                                                                                                                                     ;4;4;2;2;2;1;1;14;7;3,53;1,41;1,88
245;Eu ainda não sei                                                                                                                                                                                                ;1;5;4;3;2;1;1;12;7;3,53;2,18;2,31
246;Ou jogador do futebol ganhando muito dinheiro fama e etc, Ou formado em TI com bom carro, boas condições, familia, viagems e etc                                                                                ;2;3;3;3;1;1;2;;9;3,53;2,31;2,17
247;Me imagino com minha familia, formada e bem rica e com meu emprego,                                                                                                                                             ;1;2;4;2;2;1;1;14;8;3,53;2,44;1,43
248;Em um apartamento em alguma cidade que neve, com meus 3 cachorros e muito milhonária                                                                                                                            ;2;4;3;2;2;2;1;13;8;3,53;2,97;2,29
249;eu me imagino muito gostosa milhonária, Provando pra essas gentinha que me chamou de feia eu fiquei gostosa                                                                                                     ;1;2;3;1;2;1;1;14;8;3,54;1,09;1,88
250;Imagino formada fazendo meu intercâmbio com minha e trabalhando pra ganha meu dinheiro                                                                                                                          ;1;3;4;2;2;2;1;12;8;3,54;2,95;1,67
251;Eu imagino está formado em engenharia                                                                                                                                                                           ;1;4;4;2;1;1;2;;9;3,54;3,16;1,81
252;imagino se eu estudar ser uma grande medica                                                                                                                                                                     ;1;4;4;2;2;1;1;11;6;3,54;3,69;1,44
253;Não sei porque eu não prevejo o futuro mais se eu imagino ser uma médica particular                                                                                                                             ;1;2;4;2;1;2;1;12;7;3,55;1,76;1,27
254;Não sei                                                                                                                                                                                                         ;1;4;3;1;2;1;1;13;8;3,55;2,42;1,42
255;eu me imagino com minha família me imagino com um bom emprego                                                                                                                                                   ;2;4;3;1;1;1;2;14;8;3,56;1,82;1,35
256;Médico(a) bem de vidaem uma boa casa uma pessoa boa e tranquila com uma família                                                                                                                                 ;1;5;4;2;1;1;1;11;6;3,56;2,35;1,16
257;Eu sendo bombeiro ou Policial                                                                                                                                                                                   ;1;3;2;2;2;2;1;13;7;3,56;4,03;3,56
258;Imagino com um emprego, uma casa,filhos, um cachorro,eu com um bom emprego, um marido                                                                                                                           ;1;5;3;2;2;2;1;12;7;3,57;1,51;2,13
259;Ser uma policial ou advogada                                                                                                                                                                                    ;1;3;4;1;1;1;1;12;7;3,57;1,74;1,03
260;delegada de policia civil, com 3 filhos e um marido gato                                                                                                                                                        ;1;4;3;1;2;1;1;13;8;3,57;3,74;2,2
261;Boa, tipo com os estudos termidos com facodade e trabalho e uma familia,                                                                                                                                      ;1;4;4;2;2;1;1;11;6;3,58;0,96;1,21
262;rica, casada, com filhos, trabalhando com uma vida Bem melhor,                                                                                                                                                  ;1;2;5;1;2;2;1;13;8;3,58;2,02;2,34
263;Com um bom trabalho passada nos estudos e tudo certo com minha familia,                                                                                                                                         ;1;4;3;2;2;1;1;;9;3,58;2,49;1,17
264;sendo professora ajudando minha família                                                                                                                                                                         ;1;3;4;2;1;1;1;12;7;3,59;1,28;1,13
265;Bem sucessida, morando em  país com meus filhos                                                                                                                                                            ;1;4;2;3;2;1;1;;9;3,59;3,27;3,22
266;Imagino minha vida no futuro sendo rica para dar aos meus pais o dobro do que me deram,                                                                                                                         ;2;4;3;2;2;2;1;13;8;3,59;3,45;4,19
267;Sê jogador de futebol                                                                                                                                                                                           ;2;3;5;2;1;2;2;12;6;3,6;2,54;1,44
268;Imagino eu tendo um futuro maravilhoso                                                                                                                                                                          ;1;4;3;2;1;1;2;11;6;3,6;3,49;1,28
269;Eu vejo futuro bom e distante                                                                                                                                                                                   ;1;3;3;2;1;1;1;12;6;3,61;1,93;2
270;Me imagino sendo um Pisicalis de sucesso, sendo professor, e tendo uma clinica propria, Futuramente pretendo ter dois filhos (home e mulher), com uma esposa, com vida social ativa                           ;1;4;4;3;2;1;2;13;8;3,61;1,95;1,6
271;eu ser uma pessoa de bem com a vida ajudar quem pressisa ter uma casa um carro ter o que eu quero                                                                                                               ;1;2;5;1;1;1;2;14;6;3,61;3,05;1,87
272;Eu pretendo termir os meus estudos e me formar adivogada                                                                                                                                                      ;1;5;5;3;2;1;2;14;6;3,62;1,51;1,07
273;Sendo bombeiro mirim e fazendo facultade para falar inglês e ir para os estados unidos                                                                                                                          ;1;5;5;3;1;1;1;11;6;3,63;0,96;0,95
274;                                                                                                                                                                                                                ;2;4;3;2;2;1;1;12;7;3,63;4,87;1,8
275;                                                                                                                                                                                                                ;2;3;3;1;1;1;2;13;6;3,64;1,79;1,24
276;Rico e inteligente                                                                                                                                                                                              ;1;5;4;2;1;2;2;11;6;3,64;2,2;1,02
277;seguindo uma carreira  policia federal                                                                                                                                                                        ;1;4;4;3;2;1;2;13;8;3,64;2,76;1,22
278;Com 19  UNB cursando medici depois de fazer minha facu começar exerce                                                                                                                                  ;1;5;3;3;1;1;1;13;8;3,64;3,05;2,4
279;Com uma esposa 2 filhos um carro e uma casa,                                                                                                                                                                    ;1;4;4;2;1;1;2;12;7;3,65;1,95;1,27
280;espero que tenha um bom emprego, casa, carro, e que a saúde e felicidade nunca acabe,                                                                                                                           ;1;5;3;3;1;1;1;12;7;3,65;2;1,03
281;Com trabalho muito bom para cuidar da minha casa e da minha família                                                                                                                                             ;1;5;5;3;1;1;1;11;6;3,65;2,22;1,45
282;no futuro [,,,] formado se policia te uma familia                                                                                                                                                               ;1;5;4;2;2;1;2;11;6;3,65;3,03;1,36
283;Pretendo fazer uma boa faculdade e ser bem sucedida trabalhando  minha área                                                                                                                                   ;1;3;3;3;2;2;;13;7;3,65;3,52;2,75
284;Eu imagino eu com meu emprego com minha família, e ajudando os mendigos                                                                                                                                         ;1;4;4;3;2;1;2;13;7;3,66;1;1,71
285;                                                                                                                                                                                                                ;2;4;3;2;1;1;2;12;6;3,66;1,98;2,36
286;Me imagino feliz, com saúde, família e uma boa condição finceira                                                                                                                                              ;2;4;3;2;1;1;1;14;9;3,66;2,21;1,29
287;ir morar sozinha  I não sei                                                                                                                                                                                     ;1;3;1;2;2;2;1;13;8;3,66;2,98;2,61
288;Um grande engenheiro com uma casa boa e poder me divertir                                                                                                                                                       ;1;4;3;3;1;1;2;11;6;3,67;1;1,43
289;trabalhar em um computador,                                                                                                                                                                                     ;1;5;4;2;;1;2;14;7;3,67;1,96;1,11
290;Eu no meu consultório de Medici Veterinária                                                                                                                                                                   ;1;3;3;2;2;1;1;13;8;3,67;2;1,82
291;Eu com uma casa com um emprego maravilhoso                                                                                                                                                                      ;1;5;4;2;1;1;2;11;6;3,67;2,32;1,04
292;eu me imagino um cantor bem rico                                                                                                                                                                                ;1;4;3;2;2;1;2;14;8;3,67;2,33;3,78
293;Eu seria professora de matemática e moraria em uma casa grande e seria casada com filhos,                                                                                                                       ;1;4;3;2;1;1;1;11;6;3,67;3,06;0,94
294;Muito melhor do que e agora                                                                                                                                                                                     ;1;4;4;2;2;1;2;;6;3,67;3,48;1,53
295;Que eu seja um jogador e advogado                                                                                                                                                                               ;2;4;4;2;1;1;2;11;6;3,68;1,84;1,11
296;Eu me imagino no futuro com uma casa baca, carros e um emprego de boa qualidade,                                                                                                                              ;2;4;3;2;2;2;2;13;7;3,68;2,57;1,81
297;Formada  profissão que eu escolhi exercer, família formada e um bom trabalho                                                                                                                                  ;1;5;3;3;1;1;1;14;9;3,68;2,74;1,13
298;Bem de saúde, bom estado finceiro com família formada                                                                                                                                                         ;1;3;4;2;2;1;1;13;8;3,68;2,76;3,09
299;Em uma faculdade fazendo direito, pra ter uma vida melhor no futuro                                                                                                                                             ;1;4;3;2;1;1;1;12;7;3,68;2,77;2,1
300;Eu imagino a minha vida no futuro que eu esteja trabalhando  área em que eu me formar, com casa própria, com carro, uma família linda, marido e filhos,                                                       ;1;4;3;2;2;1;2;13;8;3,68;3,28;2,02
301;imagino eu crescendo com a minha profissam dentro da medici, Ter meus filhos e minha familia perto de mim,                                                                                                    ;2;4;5;2;2;1;1;14;7;3,68;4,02;1,47
302;Eu me imagino, casado, com uma familia, filhos e etc, Me imagino estreando em novelas, teatros, cinema,                                                                                                         ;1;2;4;2;1;1;2;13;7;3,69;2,01;1,63
303;eu sento medica,                                                                                                                                                                                                ;1;3;3;2;2;1;1;13;7;3,69;2,91;1,3
304;Cheia de tecnologia avançar muito mas muitas pessoas doentes por falta de ar com as árvoes rancadas                                                                                                             ;1;3;3;2;1;1;2;11;6;3,69;3;1,03
305;fazendo medici                                                                                                                                                                                                ;1;3;3;2;1;1;2;14;9;3,69;3,07;1,17
306;Boa, espero esta fazendo coisas que gosto                                                                                                                                                                       ;1;4;3;2;1;1;1;14;9;3,7;1,45;0,94
307;                                                                                                                                                                                                                ;1;4;3;2;1;1;1;13;8;3,7;2,48;1,17
308;Me imagino tendo feito o curso que eu queria e sendo rica                                                                                                                                                       ;1;3;3;3;2;2;1;12;6;3,7;4,95;4,26
309;Sendo uma futura médica                                                                                                                                                                                         ;1;5;5;3;;1;1;11;6;3,71;1,08;1,06
310;Um pesquisador, bem sucedido                                                                                                                                                                                    ;1;4;4;2;1;1;2;13;7;3,71;1,71;0,92
311;que eu esteja formada, com uma vida e carreira bem sucedida                                                                                                                                                     ;1;4;4;2;1;1;1;14;9;3,71;1,75;1,75
312;Eu trabalhando, tendo meu carro,minha casa, minha família                                                                                                                                                       ;1;4;4;2;2;1;1;14;7;3,71;2,56;2,57
313; verdade eu não consigo imagir, e não sei o porque                                                                                                                                                          ;1;4;3;3;1;1;1;14;9;3,71;3;1,92
314;Casada 2 filhos formada em medici                                                                                                                                                                             ;1;3;3;2;2;1;1;14;9;3,71;3,71;1,39
315;Ser muito rica, ter 2 filhos, morar no Centro-Oeste e ajudar a  minha mãe em tudo                                                                                                                               ;1;5;4;2;2;1;1;13;7;3,71;3,71;2,21
316;Eu imagino eu com uma boa condição de vida feliz com a minha familia                                                                                                                                            ;1;3;4;3;1;1;2;12;7;3,72;1,18;1,28
317;Casada, com a minha casa propria com o meu carro e o meu filho,                                                                                                                                                 ;1;5;3;2;1;1;1;12;6;3,72;2,19;1,13
318;Me imagino formada em medici podendo ajudar os s de todas as formas possíveis, viajar muito e morando em um bom lugar                                                                                    ;1;3;1;2;2;1;1;14;9;3,72;3,02;2,26
319;Eu imagino uma vida com muitas conquistas e um trabalho que me possa sustentar                                                                                                                                  ;2;4;3;2;1;1;2;12;7;3,72;3,09;1,25
320;Eu imagino te uma casa boa para minha familia mora pra mim forma medici                                                                                                                                       ;2;2;5;2;2;2;1;12;7;3,72;4,76;2,34
321;Me imagino casada, com, filhos e tendo uma casa e um bom emprego,                                                                                                                                               ;1;4;3;2;1;1;1;14;9;3,73;1;4,23
322;Uma vida bem sucedida                                                                                                                                                                                           ;3;4;3;3;1;1;1;11;6;3,73;1,47;1,26
323;faculdade, curso e etc,                                                                                                                                                                                         ;1;3;3;2;2;1;2;12;7;3,73;1,77;1,53
324;Eu imagino eu com uma morada gostosa, Ter uma BMW e uma mercedes e uma x16 e um apartamento grandão qui eu vou aluga                                                                                          ;1;2;3;1;2;2;2;13;6;3,73;2,33;2,53
325;Eu imagino meu futuro, com uma leoo condisão de vida                                                                                                                                                            ;1;4;3;2;1;1;2;11;6;3,73;4,49;1,74
326;;2;4;4;2;2;2;2;13;6;3,74;1,74;2,61
327;Eu imagino a tecnologia mais avançada do que é, e as ruas cheias de lixo e pessoas                                                                                                                              ;1;5;4;3;1;1;1;12;6;3,74;2,58;0,93
328;Ótimo                                                                                                                                                                                                           ;1;3;4;2;1;1;2;11;7;3,74;2,69;1,74
329;esteja trabalhando, com minha casa própria e uma vida estável                                                                                                                                                   ;1;4;4;2;1;1;1;13;8;3,74;2,78;1,12
330;Uma vida sem problemas, bem sucedida e tranquila, uma vida feliz e confortavelmente normal,                                                                                                                     ;1;3;4;2;2;1;2;;9;3,74;3;1
331;Comandando a favela traficante                                                                                                                                                                                  ;1;5;3;2;1;2;2;14;6;3,75;1,16;0,98
332;;1;3;4;3;2;2;1;12;6;3,75;1,48;3,18
333;"Eu me imagino casada com uns 20; trabalhando como administradora de uma empresa                                                                                                                            ";1;2;2;3;2;2;1;13;7;3,75;3,47;2,54
334;Formado, trabalhando e viendo a vida                                                                                                                                                                            ;2;3;4;3;2;1;2;14;8;3,76;1,97;2,25
335;Eu me imagino rico, milionário, tipo rockstar, Mas baixista ganha pouco :(                                                                                                                                      ;1;2;2;2;2;1;2;;9;3,76;2,2;1,7
336;Boa                                                                                                                                                                                                             ;1;3;3;1;2;2;2;12;7;3,76;2,77;1,87
337;Corrida                                                                                                                                                                                                         ;1;5;3;2;1;1;1;13;8;3,78;2,98;1,29
338;Imagino-me com 2 filhos, casad e com uma boa condição finceira                                                                                                                                                ;1;5;3;3;1;1;1;12;7;3,78;3,06;1,58
339;Eu imagino uma pessoa bonita e rica morando em Dubai                                                                                                                                                            ;1;4;2;3;2;1;1;12;7;3,78;4,98;4,59
340;Eu jogador de futebol, jogando futebol no PSG (Paris-Saint-German),                                                                                                                                             ;2;4;5;2;2;2;2;11;6;3,79;1,25;1,54
341;Casada, morando em um apartamento, trabalhando como veterinária, feliz e com pelo menos 2 filhos,                                                                                                               ;1;4;4;2;1;1;1;12;7;3,79;1,74;1,17
342;Maravilhosa                                                                                                                                                                                                     ;1;5;4;2;1;2;1;12;7;3,79;1,76;3,87
343;Eu imagino que eu vo ter um futuro bem prosprero vo ter minha casa meu carro                                                                                                                                    ;1;5;4;2;1;1;1;14;7;3,79;1,97;1,14
344;Boa, tendo tudo que precisar mais antes tenho que estudar,                                                                                                                                                      ;1;5;4;2;2;1;1;12;7;3,79;2,27;1,12
345;estudando, trabalhando pra conseguir o que eu quero                                                                                                                                                             ;1;4;4;2;1;1;2;13;8;3,79;2,97;0,95
346;                                                                                                                                                                                                                ;1;3;3;2;2;1;2;;9;3,8;2,47;3,22
347;com minha familia é uma boa condição de vida                                                                                                                                                                    ;1;3;3;2;2;1;2;14;9;3,8;2,79;1,09
348;Uma vida bem sucedida que eu viva sem me preocupar com dinheiro mais com bastante esforço no meu trabalho                                                                                                       ;1;4;4;2;2;1;1;12;7;3,8;3,07;2,4
349;Com um emprego porque eu quero ser pediatra, Ter uma casa só minha                                                                                                                                              ;1;5;4;2;1;2;1;14;6;3,8;3,54;2,68
350;Casar com a Alice, ter 2 filhos e ser rico                                                                                                                                                                      ;1;5;1;2;1;1;2;14;7;3,82;0,95;0,9
351;imagino eu com um bom emprego, uma boa casa, um bom carro e um bom estudo                                                                                                                                       ;1;4;3;2;2;1;1;;8;3,82;2,65;1,71
352;Com uma casa bem bonita, dando a minha mãe uma casa enorme e com uma vida excelente e com um marido que me respeite                                                                                             ;1;4;1;3;1;1;1;10;6;3,82;5,07;1,97
353;Agitada não muito fácil com dificuldade finceira mas ao mesmo tempo legal e muito interessante,                                                                                                               ;1;3;3;2;2;1;2;14;7;3,83;1,03;1,2
354;Uma bela família, uma casa grande para mim, minha esposa e meus 36 filhos e um belo carro,                                                                                                                      ;1;5;5;2;1;1;2;14;7;3,83;1,04;1,04
355;Em ser engenheiro, ter uma vida boa, e dar uma vidaboa aos meus pais,                                                                                                                                           ;1;2;3;2;2;1;2;;9;3,83;1,49;1,71
356;;2;3;3;2;2;1;1;13;9;3,83;2;1,69
357;Boa, legal, com um trabalho legal, ajudando meus pais com uma família normal com vários desafios para eu superar                                                                                                ;1;4;3;3;1;1;2;12;7;3,83;2,4;1,81
358;quando eu me formar numa boa profissão e fazer aquilo que eu goste, acima de tudo não depender de ninguém finceiramente                                                                                       ;1;4;3;2;2;1;1;13;8;3,83;3,46;1,63
359;Eu imagino que eu vou viver uma vida boa ter um trabalho bom,                                                                                                                                                   ;2;;3;2;1;1;1;13;6;3,83;3,48;1,85
360;                                                                                                                                                                                                                ;1;5;4;2;2;1;;14;9;3,83;4,06;0,92
361;com saude, com energia                                                                                                                                                                                          ;1;5;4;2;1;1;1;12;7;3,83;4,08;0,95
362;um homem umilde não tão rico e não tão pobre mas ou menos                                                                                                                                                       ;2;4;4;2;1;1;2;12;6;3,84;0,96;0,94
363;Um futuro maravilhoso, com muito dinheiro, um bom emprego e sendo o shazan                                                                                                                                      ;1;5;4;3;2;1;2;14;9;3,84;2,04;2,41
364;Foramada em perícia crimil, casada com 1 filho e tendo uma vida estável                                                                                                                                       ;1;4;4;2;2;1;1;14;9;3,85;2,49;2,04
365;Ter 2 filhos e trabalhar no Exército                                                                                                                                                                            ;2;4;3;2;2;2;2;13;6;3,85;3,56;1,03
366;                                                                                                                                                                                                                ;3;3;4;3;2;1;2;14;9;3,85;4,29;1,69
367; real eu não sei, tipo claro todos nos temos sonhos mas eu evito pensar nisso o futuro não é algo concreto é algo que taen sempre em mudança,                                                                 ;1;4;4;2;2;1;2;14;9;3,86;0,94;1,4
368;bom que eu siga meu caminho do bem,                                                                                                                                                                             ;1;5;5;2;1;1;2;12;7;3,86;1,53;1,08
369;Me imagino com uma boa condição finceira, com uma família constituída,                                                                                                                                        ;1;4;3;3;2;1;1;14;9;3,86;2;1,92
370;Imagino que seja com algumas dificuldades mas também que seja boa, Espero que eu consiga realizar todos os meus sonhos,,,                                                                                       ;1;5;3;3;2;1;1;12;8;3,86;2,03;2,06
371;não                                                                                                                                                                                                             ;1;5;3;2;2;2;2;13;8;3,86;4,05;2,42
372;No futuro eu sou bombeiro e sauvo vida,                                                                                                                                                                         ;1;5;5;2;1;1;1;14;6;3,87;2;0,98
373;Um ótimo emprego, um marido exemplar, uma ótima casa, 2 filhos, dando uma vida melhor aos meus pais                                                                                                             ;2;4;4;3;2;1;1;13;8;3,87;2,49;1,59
374;viajando pelo mundo, formada, trabalhando como advogada,                                                                                                                                                        ;1;3;1;2;2;2;1;14;8;3,87;2,66;1,32
375;Eu imagino que seje muito bom primeiro que fazer um curso superio e depois uma facudade e depois ter casa e filho,                                                                                              ;1;4;4;2;1;1;1;13;8;3,87;4;1,73
376;Eu quero está formado e com muita saúde                                                                                                                                                                         ;1;4;5;3;1;1;2;14;9;3,88;1;1,7
377;;1;4;4;3;1;1;2;14;9;3,88;1,07;1,09
378;sendo jogador de futebol                                                                                                                                                                                        ;1;5;3;3;1;1;2;11;6;3,88;1,44;1
379;;1;4;2;1;1;2;1;12;7;3,88;2,01;1,66
380;Vivendo com um monte de gatos e fazendo quadros, e viajando por todo o mundo e mostrando meus quadros                                                                                                           ;1;4;4;3;2;1;1;13;8;3,88;3;1,48
381;Com mais saúde, sem vandalos                                                                                                                                                                                    ;1;5;5;3;2;2;1;12;6;3,88;3,08;1,82
382;"Em Uma cadeira, uma mesa e uma computador, (Essa vai ser minha vida mesmo ;-;)                                                                                                                                  ";1;3;4;2;2;1;2;14;9;3,89;1,45;1,62
383;No futuro eu quero ser bem grande ter um filho e uma casa bem grande                                                                                                                                            ;1;3;3;2;1;1;1;12;6;3,89;1,5;1,02
384;Bem, eu gostaria de estar  UnB fazendo Engenharia Civil e arquitetura e termindo o curso de inglês e francês,                                                                                               ;1;4;;3;1;1;1;13;8;3,89;1,81;1,04
385;Me imagino com um bom emprego, boas condições finceiras                                                                                                                                                       ;1;3;2;2;1;1;1;12;7;3,89;2,43;1,46
386;ter uma casa propria, um marido e um emprego e criança,                                                                                                                                                         ;1;5;3;3;1;1;1;13;7;3,89;3,49;1,41
387;Eu imagino, eu trabalhando como juiza, tendo uma casa propria, tendo marido e filhos,                                                                                                                           ;1;5;1;2;2;2;1;13;8;3,9;1,35;1,13
388;uma pessoa boa que ajuda o próximo                                                                                                                                                                              ;1;5;4;3;1;1;1;11;6;3,9;1,74;0,95
389;Com uma família, faculdade feita e ver minha mãe comigo,                                                                                                                                                        ;1;4;4;3;1;1;1;;9;3,9;2,07;1,16
390;Eu morando em Vancouver no Cadá, Viajando muito, para s países como, Portugal, Escócia, França, Estados Unidos e s, ah Quero também fazer um curso de iglês no meu 1 do ensino médio,        ;1;3;4;2;2;1;2;14;9;3,9;3,32;1,12
391;Com estudos completo com uma familia e amigos do lado                                                                                                                                                           ;1;4;3;2;2;1;2;14;9;3,9;3,97;1,61
392;me imagino formada, com um bom emprego, tendo uma boa condição de vida e podendo dar o melhor para mim e para meus pais,                                                                                        ;1;4;4;2;2;1;1;13;9;3,9;3,97;1,64
393;me vejo trabalhando, com família,,,                                                                                                                                                                             ;1;4;4;3;1;2;2;11;6;3,91;3,98;1,74
394;Eu me imagino no futuro formada em medici ou em artes cênicas ou então sendo estilista,                                                                                                                       ;1;5;3;3;1;2;1;12;7;3,91;4,03;1,89
395;não sei                                                                                                                                                                                                         ;1;5;4;2;1;2;1;13;6;3,92;0,96;0,96
396;Com um bom trabalho e bem de vida                                                                                                                                                                               ;1;3;4;3;2;1;2;12;7;3,92;1,41;1,94
397;que eu tenha um bom emprego que minha vida seja legal                                                                                                                                                           ;1;4;4;2;2;1;2;13;8;3,92;1,65;1,45
398;eu quero que no meu futuro eu seja uma pessoa bem sucedida                                                                                                                                                      ;1;5;4;3;1;1;1;12;6;3,92;2,26;1,12
399;Eu sendo Ingeiro (sic) Eletrico muito feliz                                                                                                                                                                     ;1;5;4;2;1;1;2;12;7;3,92;2,5;1,01
400;Com um ótimo emprego, trabalhando de policial tendo uma casa, um carro, uma família (palavra incompreensível) e tendo dinheiro para sustentala (sic)                                                            ;1;4;3;2;1;1;2;12;7;3,92;2,77;2,19
401;Eu ainda não imagino o meu futuro                                                                                                                                                                               ;1;3;4;2;2;2;1;13;7;3,93;2,73;2,57
402;Espero estar formada, com uma condição finceira boa e feliz,                                                                                                                                                  ;1;5;4;3;2;2;1;;9;3,94;1,98;1,34
403;"Eu imagino meu futuro; estudando, trabalhando, tendo minha casa, vivendo sem depender dos s,                                                                                                               ";1;5;4;2;2;1;1;13;8;3,94;2,31;1,15
404;Formada em medici e feliz                                                                                                                                                                                     ;1;4;2;2;2;1;1;12;7;3,95;1,97;1,63
405;Uma artista famosa bem sucedida casada 2 filhos numa casa grande                                                                                                                                                ;1;5;4;3;1;2;1;12;7;3,95;2,25;1,28
406;uma Meninas boa, legal e talentosa                                                                                                                                                                               ;1;3;3;2;1;1;1;11;6;3,95;3,41;1,04
407;Sendo uma veteriria poficiol para cuidar de todos os animais doentes                                                                                                                                        ;1;5;5;2;1;1;1;12;7;3,96;1,05;1,5
408;como pesquisadora aprendendo coisas novas                                                                                                                                                                       ;1;5;4;3;;1;1;11;6;3,96;2,52;1,03
409;Eu sendo uma oftomologista                                                                                                                                                                                      ;1;5;4;3;1;1;1;13;7;3,97;0,93;1,33
410;Eu imagino minha vida feliz, eu com um bom emprego, uma familia, e um casamento bem sucedido                                                                                                                    ;1;4;4;2;1;1;1;14;9;3,97;1,21;0,95
411;Imagino que vou ser doutora uma médica pós-graduada com um apartament e sem filhos                                                                                                                              ;1;4;3;3;2;1;1;10;6;3,97;1,71;1,62
412;Eu imagino ou trabalhando tendo uma vida boa tendo minha casa e a minha família e ajudando minha mãe com o que ela precisar                                                                                     ;1;5;4;2;1;1;1;12;7;3,97;1,75;1,12
413;Jogar Futebol, ter cons trabalhos como advogado etc,                                                                                                                                                            ;1;5;4;3;1;1;2;12;7;3,97;1,75;1,38
414;Rica, família estruturada, emprego excelente,casada                                                                                                                                                             ;1;5;3;2;1;1;1;12;7;3,97;1,98;1,05
415;Eu me imagino que eu seja uns dos gerentes da empreza do meu pai, Me vejo morando sozinho, com meu carro e saindo com meus amigos e amiga                                                                       ;1;5;4;2;2;2;2;14;9;3,97;2,75;2,05
