ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
51;bom e bem sucedida                                                                                                                                                                                              ;1;2;5;2;2;1;2;14;9;2,75;1,31;2,47
52;                                                                                                                                                                                                                ;1;5;5;3;2;1;1;14;;2,76;2,58;1,16
53;Ter casa e uma familia                                                                                                                                                                                          ;2;2;2;2;2;1;2;14;7;2,77;2,26;1,01
54;com uma vida saudavel, dig, justa com condições de dar uma vida boa pros meus filhos e minha mulher                                                                                                           ;2;2;3;2;2;1;2;14;9;2,77;4,24;1,61
55;Eu imagino eu pilotando um jato da força áerea                                                                                                                                                                  ;1;2;3;2;2;2;2;12;7;2,78;3,75;2,06
56;imagino eu morando sozinha, estudando e trabalhando                                                                                                                                                             ;2;3;3;2;2;1;1;13;8;2,78;4,23;1,57
57;Eu imagino que tudo que eu passo hoje lá no futuro tudo vai melhorar,                                                                                                                                           ;1;2;4;2;2;2;2;13;7;2,79;4,69;1,32
58;Eu me vejo como uma advogada crimilística                                                                                                                                                                     ;1;3;1;3;1;1;1;12;7;2,8;4,24;1,11
59;Eu imagino seguindo os passos do meu pai, então eu me imagino tendo uma vida normal sendo bombeiro ou policial,                                                                                                 ;1;3;4;2;2;2;2;14;9;2,81;1,46;3,21
60;;1;3;2;1;2;2;2;13;8;2,81;2,71;2,87
61;sendo delegada, e com uma boa renda, Termindo meus estudos                                                                                                                                                    ;3;3;2;2;2;1;1;14;8;2,82;2,8;2,54
62;muito rica                                                                                                                                                                                                      ;4;2;2;1;2;1;2;14;8;2,82;4,96;2,38
63;Fazendo stream  twitch                                                                                                                                                                                        ;1;3;3;2;1;1;2;13;9;2,83;3,22;2,77
64;;1;5;4;2;1;2;2;12;7;2,84;1,72;1,59
65;Mal sucedida porque não gosto muito de estudar                                                                                                                                                                  ;1;3;3;2;2;2;1;13;8;2,84;1,77;1
66;Trabalhador, skatista                                                                                                                                                                                           ;1;4;5;3;2;1;2;13;6;2,84;4,5;1,43
67;boa                                                                                                                                                                                                             ;1;3;3;2;1;1;2;14;9;2,85;1,71;2,16
68;Eu imagino minha vida no futuro bem boa e que eu vou conseguir fazer o que eu quero                                                                                                                             ;1;3;1;1;1;1;1;12;7;2,85;3,05;2,16
69;Do jeito que é hoje                                                                                                                                                                                             ;2;3;4;3;2;2;2;13;8;2,87;1,1;1,65
70;Me imagino feliz, fazendo o que amo e tendo uma familia formada nos Estados Unidos                                                                                                                              ;1;4;5;2;1;1;1;14;8;2,88;2,11;1,93
71;eu imagino minha vida no futuro sendo jogador de futebol, recebendo um bom salário e tendo uma boa qualidade de vida                                                                                            ;1;3;3;3;1;1;2;14;9;2,89;1,28;1,73
72;Eu termindo os estudos, trabalhando em um emprego bom, e uma família maravilhosa                                                                                                                              ;1;3;4;2;2;2;2;13;8;2,89;2,46;2,59
73;que eu case com o Gustavo tenha uma casa linda que eu tenho 2 filhos e sejamos feliz                                                                                                                           ;1;4;4;2;1;1;1;11;6;2,89;3,69;1,47
74;ter minha casa não depender do marido e ter um trabalho diguino                                                                                                                                                 ;1;4;3;2;1;1;2;13;6;2,9;2,5;1,66
