"ID";"Futuro";"Faltas";"Dever";"Gosta_escola";"Notas";"Alcool_vida";"Inalante_vida";"Sexo";"Idade";"Ano_escolar";"Autoeficacia";"Intromissao";"Antisocial";"Num_char_futuro";"Futuro2"
156;"Ser grande respeitado e conhecido por todos E claro dinheiro e mulher                                                                                                                                         ";.;3;3;2;"Não1";"Não1";2;14;9;"3,22";"3,79";"1,74";206;"SER GRANDE RESP"
157;"Carros flutuantes um bom emprego                                                                                                                                                                                ";.;3;1;2;"Não2";"Não1";2;14;7;"3,22";"3,94";"1,92";208;"CARROS FLUTUANT"
158;"Ainda não imagino ela, mais espero que eu me forme, e tenha um bom trabalho,                                                                                                                                    ";.;3;4;1;"Não2";"Não1";1;14;7;"3,22";"4,95";"2,04";208;"AINDA NÃO IMAGI"
159;"eu vou ser adulto                                                                                                                                                                                               ";.;1;3;2;"Não2";"Não2";2;14;9;"3,23";"1,78";"4,18";208;"EU VOU SER ADUL"
160;"Legal                                                                                                                                                                                                           ";.;3;4;2;"Não2";"Não1";1;12;7;"3,23";"3,22";"1,01";208;"LEGAL          "
161;"Eu quero forma e trabalhar agum dia                                                                                                                                                                             ";.;3;4;2;"Não2";"Não1";2;13;7;"3,24";"1,45";"1,04";208;"EU QUERO FORMA "
162;"Sinceramente, eu me imagino como mulher rica de preferencia, poderosa, com um marido que seja jogador de futebol e duas filhas,                                                                                 ";.;4;3;2;"Não2";"Não2";1;14;9;"3,24";"2,54";"2,37";208;"SINCERAMENTE, E"
163;"Eu só imagino a o que vai acontecer, só fico ansiosa se vai dar tudo ou não                                                                                                                                     ";.;5;4;1;"Não1";"Não1";1;13;7;"3,24";"3";"3,14";208;"EU SÓ IMAGINO A"
164;"Eu formada sendo professora cuidando da minha familia e tendo um bom trabalho                                                                                                                                   ";.;2;4;2;"Não1";"Não1";1;12;6;"3,24";"3,25";"1";208;"EU FORMADA SEND"
165;"eu ainda não pensei muito nisso, Mas eu quero fazer uma faculdade, trabalhar, cuidar dos meus pais                                                                                                              ";.;3;4;2;"Não1";"Não1";1;13;8;"3,24";"4,44";"1,51";208;"EU AINDA NÃO PE"
166;"                                                                                                                                                                                                                ";.;3;3;2;"Não2";"Não2";2;14;7;"3,25";"3,27";"1,71";208;"               "
167;"me imagino formando em psicologia e artes cênicas, fazendo shows pelo mundo e atuando, casado com filhos e morando em los angeles                                                                               ";.;3;2;2;"Não2";"Não1";1;13;8;"3,25";"3,49";"1,94";208;"ME IMAGINO FORM"
168;"                                                                                                                                                                                                                ";.;2;3;2;"Não2";"Não2";2;.;9;"3,25";"3,72";"3,42";208;"               "
169;"Eu quero ser psicóloga então imagino que no futuro eu vou conseguir ser                                                                                                                                         ";.;2;3;3;"Não1";"Não1";1;13;7;"3,25";"5,06";"4,51";208;"EU QUERO SER PS"
170;"                                                                                                                                                                                                                ";.;4;4;3;"Não2";"Não1";2;.;9;"3,26";"2,09";"1,95";208;"               "
172;"Eu me imagino fazendo curso de veterinária, tendo um bom emprego e cuidando de vários animais e tendo meu proprio dinheiro                                                                                      ";.;3;3;2;"Não1";"Não1";1;12;6;"3,26";"3,15";"2,84";208;"EU ME IMAGINO F"
173;"Um país mais desenvolvido, menos corrupções, vidas melhores (etc)                                                                                                                                               ";.;5;3;2;"Não1";"Não1";1;.;9;"3,27";"1,89";"1,37";208;"UM PAÍS MAIS DE"
