"ID";"Futuro";"Faltas";"Dever";"Gosta_escola";"Notas";"Alcool_vida";"Inalante_vida";"Sexo";"Idade";"Ano_escolar";"Autoeficacia";"Intromissao";"Antisocial";"Num_char_futuro";"Futuro2"
264;"sendo professora ajudando minha família                                                                                                                                                                         ";.;3;4;2;"Não1";"Não1";1;12;7;"3,59";"1,28";"1,13";208;"SENDO PROFESSOR"
265;"Bem sucessida, morando em  país com meus filhos                                                                                                                                                            ";.;4;2;3;"Não2";"Não1";1;.;9;"3,59";"3,27";"3,22";203;"BEM SUCESSIDA, "
266;"Imagino minha vida no futuro sendo rica para dar aos meus pais o dobro do que me deram,                                                                                                                         ";.;4;3;2;"Não2";"Não2";1;13;8;"3,59";"3,45";"4,19";208;"IMAGINO MINHA V"
267;"Sê jogador de futebol                                                                                                                                                                                           ";.;3;5;2;"Não1";"Não2";2;12;6;"3,6";"2,54";"1,44";208;"SÊ JOGADOR DE F"
268;"Imagino eu tendo um futuro maravilhoso                                                                                                                                                                          ";.;4;3;2;"Não1";"Não1";2;11;6;"3,6";"3,49";"1,28";208;"IMAGINO EU TEND"
269;"Eu vejo futuro bom e distante                                                                                                                                                                                   ";.;3;3;2;"Não1";"Não1";1;12;6;"3,61";"1,93";"2";208;"EU VEJO FUTURO "
270;"Me imagino sendo um Pisicalis de sucesso, sendo professor, e tendo uma clinica propria, Futuramente pretendo ter dois filhos (home e mulher), com uma esposa, com vida social ativa                           ";.;4;4;3;"Não2";"Não1";2;13;8;"3,61";"1,95";"1,6";206;"ME IMAGINO SEND"
271;"eu ser uma pessoa de bem com a vida ajudar quem pressisa ter uma casa um carro ter o que eu quero                                                                                                               ";.;2;5;1;"Não1";"Não1";2;14;6;"3,61";"3,05";"1,87";208;"EU SER UMA PESS"
272;"Eu pretendo termir os meus estudos e me formar adivogada                                                                                                                                                      ";.;5;5;3;"Não2";"Não1";2;14;6;"3,62";"1,51";"1,07";206;"EU PRETENDO TER"
273;"Sendo bombeiro mirim e fazendo facultade para falar inglês e ir para os estados unidos                                                                                                                          ";.;5;5;3;"Não1";"Não1";1;11;6;"3,63";"0,96";"0,95";208;"SENDO BOMBEIRO "
274;"                                                                                                                                                                                                                ";.;4;3;2;"Não2";"Não1";1;12;7;"3,63";"4,87";"1,8";208;"               "
275;"                                                                                                                                                                                                                ";.;3;3;1;"Não1";"Não1";2;13;6;"3,64";"1,79";"1,24";208;"               "
276;"Rico e inteligente                                                                                                                                                                                              ";.;5;4;2;"Não1";"Não2";2;11;6;"3,64";"2,2";"1,02";208;"RICO E INTELIGE"
277;"seguindo uma carreira  policia federal                                                                                                                                                                        ";.;4;4;3;"Não2";"Não1";2;13;8;"3,64";"2,76";"1,22";206;"SEGUINDO UMA CA"
278;"Com 19  UNB cursando medici depois de fazer minha facu começar exerce                                                                                                                                  ";.;5;3;3;"Não1";"Não1";1;13;8;"3,64";"3,05";"2,4";199;"COM 19  UNB CUR"
279;"Com uma esposa 2 filhos um carro e uma casa,                                                                                                                                                                    ";.;4;4;2;"Não1";"Não1";2;12;7;"3,65";"1,95";"1,27";208;"COM UMA ESPOSA "
280;"espero que tenha um bom emprego, casa, carro, e que a saúde e felicidade nunca acabe,                                                                                                                           ";.;5;3;3;"Não1";"Não1";1;12;7;"3,65";"2";"1,03";208;"ESPERO QUE TENH"
281;"Com trabalho muito bom para cuidar da minha casa e da minha família                                                                                                                                             ";.;5;5;3;"Não1";"Não1";1;11;6;"3,65";"2,22";"1,45";208;"COM TRABALHO MU"
282;"no futuro [,,,] formado se policia te uma familia                                                                                                                                                               ";.;5;4;2;"Não2";"Não1";2;11;6;"3,65";"3,03";"1,36";208;"NO FUTURO [,,,]"
283;"Pretendo fazer uma boa faculdade e ser bem sucedida trabalhando  minha área                                                                                                                                   ";.;3;3;3;"Não2";"Não2";.;13;7;"3,65";"3,52";"2,75";206;"PRETENDO FAZER "
284;"Eu imagino eu com meu emprego com minha família, e ajudando os mendigos                                                                                                                                         ";.;4;4;3;"Não2";"Não1";2;13;7;"3,66";"1";"1,71";208;"EU IMAGINO EU C"
285;"                                                                                                                                                                                                                ";.;4;3;2;"Não1";"Não1";2;12;6;"3,66";"1,98";"2,36";208;"               "
286;"Me imagino feliz, com saúde, família e uma boa condição finceira                                                                                                                                              ";.;4;3;2;"Não1";"Não1";1;14;9;"3,66";"2,21";"1,29";206;"ME IMAGINO FELI"
287;"ir morar sozinha  I não sei                                                                                                                                                                                     ";.;3;1;2;"Não2";"Não2";1;13;8;"3,66";"2,98";"2,61";208;"IR MORAR SOZINH"
288;"Um grande engenheiro com uma casa boa e poder me divertir                                                                                                                                                       ";.;4;3;3;"Não1";"Não1";2;11;6;"3,67";"1";"1,43";208;"UM GRANDE ENGEN"
289;"trabalhar em um computador,                                                                                                                                                                                     ";.;5;4;2;.;"Não1";2;14;7;"3,67";"1,96";"1,11";208;"TRABALHAR EM UM"
290;"Eu no meu consultório de Medici Veterinária                                                                                                                                                                   ";.;3;3;2;"Não2";"Não1";1;13;8;"3,67";"2";"1,82";206;"EU NO MEU CONSU"
291;"Eu com uma casa com um emprego maravilhoso                                                                                                                                                                      ";.;5;4;2;"Não1";"Não1";2;11;6;"3,67";"2,32";"1,04";208;"EU COM UMA CASA"
292;"eu me imagino um cantor bem rico                                                                                                                                                                                ";.;4;3;2;"Não2";"Não1";2;14;8;"3,67";"2,33";"3,78";208;"EU ME IMAGINO U"
293;"Eu seria professora de matemática e moraria em uma casa grande e seria casada com filhos,                                                                                                                       ";.;4;3;2;"Não1";"Não1";1;11;6;"3,67";"3,06";"0,94";208;"EU SERIA PROFES"
294;"Muito melhor do que e agora                                                                                                                                                                                     ";.;4;4;2;"Não2";"Não1";2;.;6;"3,67";"3,48";"1,53";208;"MUITO MELHOR DO"
295;"Que eu seja um jogador e advogado                                                                                                                                                                               ";.;4;4;2;"Não1";"Não1";2;11;6;"3,68";"1,84";"1,11";208;"QUE EU SEJA UM "
296;"Eu me imagino no futuro com uma casa baca, carros e um emprego de boa qualidade,                                                                                                                              ";.;4;3;2;"Não2";"Não2";2;13;7;"3,68";"2,57";"1,81";206;"EU ME IMAGINO N"
297;"Formada  profissão que eu escolhi exercer, família formada e um bom trabalho                                                                                                                                  ";.;5;3;3;"Não1";"Não1";1;14;9;"3,68";"2,74";"1,13";206;"FORMADA  PROFIS"
298;"Bem de saúde, bom estado finceiro com família formada                                                                                                                                                         ";.;3;4;2;"Não2";"Não1";1;13;8;"3,68";"2,76";"3,09";206;"BEM DE SAÚDE, B"
299;"Em uma faculdade fazendo direito, pra ter uma vida melhor no futuro                                                                                                                                             ";.;4;3;2;"Não1";"Não1";1;12;7;"3,68";"2,77";"2,1";208;"EM UMA FACULDAD"
300;"Eu imagino a minha vida no futuro que eu esteja trabalhando  área em que eu me formar, com casa própria, com carro, uma família linda, marido e filhos,                                                       ";.;4;3;2;"Não2";"Não1";2;13;8;"3,68";"3,28";"2,02";206;"EU IMAGINO A MI"
301;"imagino eu crescendo com a minha profissam dentro da medici, Ter meus filhos e minha familia perto de mim,                                                                                                    ";.;4;5;2;"Não2";"Não1";1;14;7;"3,68";"4,02";"1,47";206;"IMAGINO EU CRES"
302;"Eu me imagino, casado, com uma familia, filhos e etc, Me imagino estreando em novelas, teatros, cinema,                                                                                                         ";.;2;4;2;"Não1";"Não1";2;13;7;"3,69";"2,01";"1,63";208;"EU ME IMAGINO, "
303;"eu sento medica,                                                                                                                                                                                                ";.;3;3;2;"Não2";"Não1";1;13;7;"3,69";"2,91";"1,3";208;"EU SENTO MEDICA"
304;"Cheia de tecnologia avançar muito mas muitas pessoas doentes por falta de ar com as árvoes rancadas                                                                                                             ";.;3;3;2;"Não1";"Não1";2;11;6;"3,69";"3";"1,03";208;"CHEIA DE TECNOL"
305;"fazendo medici                                                                                                                                                                                                ";.;3;3;2;"Não1";"Não1";2;14;9;"3,69";"3,07";"1,17";206;"FAZENDO MEDICI "
306;"Boa, espero esta fazendo coisas que gosto                                                                                                                                                                       ";.;4;3;2;"Não1";"Não1";1;14;9;"3,7";"1,45";"0,94";208;"BOA, ESPERO EST"
307;"                                                                                                                                                                                                                ";.;4;3;2;"Não1";"Não1";1;13;8;"3,7";"2,48";"1,17";208;"               "
308;"Me imagino tendo feito o curso que eu queria e sendo rica                                                                                                                                                       ";.;3;3;3;"Não2";"Não2";1;12;6;"3,7";"4,95";"4,26";208;"ME IMAGINO TEND"
309;"Sendo uma futura médica                                                                                                                                                                                         ";.;5;5;3;.;"Não1";1;11;6;"3,71";"1,08";"1,06";208;"SENDO UMA FUTUR"
310;"Um pesquisador, bem sucedido                                                                                                                                                                                    ";.;4;4;2;"Não1";"Não1";2;13;7;"3,71";"1,71";"0,92";208;"UM PESQUISADOR,"
311;"que eu esteja formada, com uma vida e carreira bem sucedida                                                                                                                                                     ";.;4;4;2;"Não1";"Não1";1;14;9;"3,71";"1,75";"1,75";208;"QUE EU ESTEJA F"
312;"Eu trabalhando, tendo meu carro,minha casa, minha família                                                                                                                                                       ";.;4;4;2;"Não2";"Não1";1;14;7;"3,71";"2,56";"2,57";208;"EU TRABALHANDO,"
313;" verdade eu não consigo imagir, e não sei o porque                                                                                                                                                          ";.;4;3;3;"Não1";"Não1";1;14;9;"3,71";"3";"1,92";204;" VERDADE EU NÃO"
314;"Casada 2 filhos formada em medici                                                                                                                                                                             ";.;3;3;2;"Não2";"Não1";1;14;9;"3,71";"3,71";"1,39";206;"CASADA 2 FILHOS"
315;"Ser muito rica, ter 2 filhos, morar no Centro-Oeste e ajudar a  minha mãe em tudo                                                                                                                               ";.;5;4;2;"Não2";"Não1";1;13;7;"3,71";"3,71";"2,21";208;"SER MUITO RICA,"
316;"Eu imagino eu com uma boa condição de vida feliz com a minha familia                                                                                                                                            ";.;3;4;3;"Não1";"Não1";2;12;7;"3,72";"1,18";"1,28";208;"EU IMAGINO EU C"
317;"Casada, com a minha casa propria com o meu carro e o meu filho,                                                                                                                                                 ";.;5;3;2;"Não1";"Não1";1;12;6;"3,72";"2,19";"1,13";208;"CASADA, COM A M"
318;"Me imagino formada em medici podendo ajudar os s de todas as formas possíveis, viajar muito e morando em um bom lugar                                                                                    ";.;3;1;2;"Não2";"Não1";1;14;9;"3,72";"3,02";"2,26";201;"ME IMAGINO FORM"
319;"Eu imagino uma vida com muitas conquistas e um trabalho que me possa sustentar                                                                                                                                  ";.;4;3;2;"Não1";"Não1";2;12;7;"3,72";"3,09";"1,25";208;"EU IMAGINO UMA "
320;"Eu imagino te uma casa boa para minha familia mora pra mim forma medici                                                                                                                                       ";.;2;5;2;"Não2";"Não2";1;12;7;"3,72";"4,76";"2,34";206;"EU IMAGINO TE U"
321;"Me imagino casada, com, filhos e tendo uma casa e um bom emprego,                                                                                                                                               ";.;4;3;2;"Não1";"Não1";1;14;9;"3,73";"1";"4,23";208;"ME IMAGINO CASA"
322;"Uma vida bem sucedida                                                                                                                                                                                           ";.;4;3;3;"Não1";"Não1";1;11;6;"3,73";"1,47";"1,26";208;"UMA VIDA BEM SU"
323;"faculdade, curso e etc,                                                                                                                                                                                         ";.;3;3;2;"Não2";"Não1";2;12;7;"3,73";"1,77";"1,53";208;"FACULDADE, CURS"
324;"Eu imagino eu com uma morada gostosa, Ter uma BMW e uma mercedes e uma x16 e um apartamento grandão qui eu vou aluga                                                                                          ";.;2;3;1;"Não2";"Não2";2;13;6;"3,73";"2,33";"2,53";206;"EU IMAGINO EU C"
325;"Eu imagino meu futuro, com uma leoo condisão de vida                                                                                                                                                            ";.;4;3;2;"Não1";"Não1";2;11;6;"3,73";"4,49";"1,74";208;"EU IMAGINO MEU "
327;"Eu imagino a tecnologia mais avançada do que é, e as ruas cheias de lixo e pessoas                                                                                                                              ";.;5;4;3;"Não1";"Não1";1;12;6;"3,74";"2,58";"0,93";208;"EU IMAGINO A TE"
328;"Ótimo                                                                                                                                                                                                           ";.;3;4;2;"Não1";"Não1";2;11;7;"3,74";"2,69";"1,74";208;"ÓTIMO          "
329;"esteja trabalhando, com minha casa própria e uma vida estável                                                                                                                                                   ";.;4;4;2;"Não1";"Não1";1;13;8;"3,74";"2,78";"1,12";208;"ESTEJA TRABALHA"
330;"Uma vida sem problemas, bem sucedida e tranquila, uma vida feliz e confortavelmente normal,                                                                                                                     ";.;3;4;2;"Não2";"Não1";2;.;9;"3,74";"3";"1";208;"UMA VIDA SEM PR"
331;"Comandando a favela traficante                                                                                                                                                                                  ";.;5;3;2;"Não1";"Não2";2;14;6;"3,75";"1,16";"0,98";208;"COMANDANDO A FA"
333;"Eu me imagino casada com uns 20; trabalhando como administradora de uma empresa                                                                                                                            ";.;2;2;3;"Não2";"Não2";1;13;7;"3,75";"3,47";"2,54";203;"EU ME IMAGINO C"
334;"Formado, trabalhando e viendo a vida                                                                                                                                                                            ";.;3;4;3;"Não2";"Não1";2;14;8;"3,76";"1,97";"2,25";208;"FORMADO, TRABAL"
335;"Eu me imagino rico, milionário, tipo rockstar, Mas baixista ganha pouco :(                                                                                                                                      ";.;2;2;2;"Não2";"Não1";2;.;9;"3,76";"2,2";"1,7";208;"EU ME IMAGINO R"
336;"Boa                                                                                                                                                                                                             ";.;3;3;1;"Não2";"Não2";2;12;7;"3,76";"2,77";"1,87";208;"BOA            "
337;"Corrida                                                                                                                                                                                                         ";.;5;3;2;"Não1";"Não1";1;13;8;"3,78";"2,98";"1,29";208;"CORRIDA        "
338;"Imagino-me com 2 filhos, casad e com uma boa condição finceira                                                                                                                                                ";.;5;3;3;"Não1";"Não1";1;12;7;"3,78";"3,06";"1,58";206;"IMAGINO-ME COM "
339;"Eu imagino uma pessoa bonita e rica morando em Dubai                                                                                                                                                            ";.;4;2;3;"Não2";"Não1";1;12;7;"3,78";"4,98";"4,59";208;"EU IMAGINO UMA "
340;"Eu jogador de futebol, jogando futebol no PSG (Paris-Saint-German),                                                                                                                                             ";.;4;5;2;"Não2";"Não2";2;11;6;"3,79";"1,25";"1,54";208;"EU JOGADOR DE F"
341;"Casada, morando em um apartamento, trabalhando como veterinária, feliz e com pelo menos 2 filhos,                                                                                                               ";.;4;4;2;"Não1";"Não1";1;12;7;"3,79";"1,74";"1,17";208;"CASADA, MORANDO"
342;"Maravilhosa                                                                                                                                                                                                     ";.;5;4;2;"Não1";"Não2";1;12;7;"3,79";"1,76";"3,87";208;"MARAVILHOSA    "
343;"Eu imagino que eu vo ter um futuro bem prosprero vo ter minha casa meu carro                                                                                                                                    ";.;5;4;2;"Não1";"Não1";1;14;7;"3,79";"1,97";"1,14";208;"EU IMAGINO QUE "
344;"Boa, tendo tudo que precisar mais antes tenho que estudar,                                                                                                                                                      ";.;5;4;2;"Não2";"Não1";1;12;7;"3,79";"2,27";"1,12";208;"BOA, TENDO TUDO"
345;"estudando, trabalhando pra conseguir o que eu quero                                                                                                                                                             ";.;4;4;2;"Não1";"Não1";2;13;8;"3,79";"2,97";"0,95";208;"ESTUDANDO, TRAB"
346;"                                                                                                                                                                                                                ";.;3;3;2;"Não2";"Não1";2;.;9;"3,8";"2,47";"3,22";208;"               "
347;"com minha familia é uma boa condição de vida                                                                                                                                                                    ";.;3;3;2;"Não2";"Não1";2;14;9;"3,8";"2,79";"1,09";208;"COM MINHA FAMIL"
348;"Uma vida bem sucedida que eu viva sem me preocupar com dinheiro mais com bastante esforço no meu trabalho                                                                                                       ";.;4;4;2;"Não2";"Não1";1;12;7;"3,8";"3,07";"2,4";208;"UMA VIDA BEM SU"
349;"Com um emprego porque eu quero ser pediatra, Ter uma casa só minha                                                                                                                                              ";.;5;4;2;"Não1";"Não2";1;14;6;"3,8";"3,54";"2,68";208;"COM UM EMPREGO "
350;"Casar com a Alice, ter 2 filhos e ser rico                                                                                                                                                                      ";.;5;1;2;"Não1";"Não1";2;14;7;"3,82";"0,95";"0,9";208;"CASAR COM A ALI"
351;"imagino eu com um bom emprego, uma boa casa, um bom carro e um bom estudo                                                                                                                                       ";.;4;3;2;"Não2";"Não1";1;.;8;"3,82";"2,65";"1,71";208;"IMAGINO EU COM "
352;"Com uma casa bem bonita, dando a minha mãe uma casa enorme e com uma vida excelente e com um marido que me respeite                                                                                             ";.;4;1;3;"Não1";"Não1";1;10;6;"3,82";"5,07";"1,97";208;"COM UMA CASA BE"
353;"Agitada não muito fácil com dificuldade finceira mas ao mesmo tempo legal e muito interessante,                                                                                                               ";.;3;3;2;"Não2";"Não1";2;14;7;"3,83";"1,03";"1,2";206;"AGITADA NÃO MUI"
354;"Uma bela família, uma casa grande para mim, minha esposa e meus 36 filhos e um belo carro,                                                                                                                      ";.;5;5;2;"Não1";"Não1";2;14;7;"3,83";"1,04";"1,04";208;"UMA BELA FAMÍLI"
355;"Em ser engenheiro, ter uma vida boa, e dar uma vidaboa aos meus pais,                                                                                                                                           ";.;2;3;2;"Não2";"Não1";2;.;9;"3,83";"1,49";"1,71";208;"EM SER ENGENHEI"
357;"Boa, legal, com um trabalho legal, ajudando meus pais com uma família normal com vários desafios para eu superar                                                                                                ";.;4;3;3;"Não1";"Não1";2;12;7;"3,83";"2,4";"1,81";208;"BOA, LEGAL, COM"
358;"quando eu me formar numa boa profissão e fazer aquilo que eu goste, acima de tudo não depender de ninguém finceiramente                                                                                       ";.;4;3;2;"Não2";"Não1";1;13;8;"3,83";"3,46";"1,63";206;"QUANDO EU ME FO"
359;"Eu imagino que eu vou viver uma vida boa ter um trabalho bom,                                                                                                                                                   ";.;.;3;2;"Não1";"Não1";1;13;6;"3,83";"3,48";"1,85";208;"EU IMAGINO QUE "
360;"                                                                                                                                                                                                                ";.;5;4;2;"Não2";"Não1";.;14;9;"3,83";"4,06";"0,92";208;"               "
361;"com saude, com energia                                                                                                                                                                                          ";.;5;4;2;"Não1";"Não1";1;12;7;"3,83";"4,08";"0,95";208;"COM SAUDE, COM "
362;"um homem umilde não tão rico e não tão pobre mas ou menos                                                                                                                                                       ";.;4;4;2;"Não1";"Não1";2;12;6;"3,84";"0,96";"0,94";208;"UM HOMEM UMILDE"
363;"Um futuro maravilhoso, com muito dinheiro, um bom emprego e sendo o shazan                                                                                                                                      ";.;5;4;3;"Não2";"Não1";2;14;9;"3,84";"2,04";"2,41";208;"UM FUTURO MARAV"
364;"Foramada em perícia crimil, casada com 1 filho e tendo uma vida estável                                                                                                                                       ";.;4;4;2;"Não2";"Não1";1;14;9;"3,85";"2,49";"2,04";206;"FORAMADA EM PER"
365;"Ter 2 filhos e trabalhar no Exército                                                                                                                                                                            ";.;4;3;2;"Não2";"Não2";2;13;6;"3,85";"3,56";"1,03";208;"TER 2 FILHOS E "
366;"                                                                                                                                                                                                                ";.;3;4;3;"Não2";"Não1";2;14;9;"3,85";"4,29";"1,69";208;"               "
367;" real eu não sei, tipo claro todos nos temos sonhos mas eu evito pensar nisso o futuro não é algo concreto é algo que taen sempre em mudança,                                                                 ";.;4;4;2;"Não2";"Não1";2;14;9;"3,86";"0,94";"1,4";206;" REAL EU NÃO SE"
368;"bom que eu siga meu caminho do bem,                                                                                                                                                                             ";.;5;5;2;"Não1";"Não1";2;12;7;"3,86";"1,53";"1,08";208;"BOM QUE EU SIGA"
369;"Me imagino com uma boa condição finceira, com uma família constituída,                                                                                                                                        ";.;4;3;3;"Não2";"Não1";1;14;9;"3,86";"2";"1,92";206;"ME IMAGINO COM "
370;"Imagino que seja com algumas dificuldades mas também que seja boa, Espero que eu consiga realizar todos os meus sonhos,,,                                                                                       ";.;5;3;3;"Não2";"Não1";1;12;8;"3,86";"2,03";"2,06";208;"IMAGINO QUE SEJ"
371;"não                                                                                                                                                                                                             ";.;5;3;2;"Não2";"Não2";2;13;8;"3,86";"4,05";"2,42";208;"NÃO            "
372;"No futuro eu sou bombeiro e sauvo vida,                                                                                                                                                                         ";.;5;5;2;"Não1";"Não1";1;14;6;"3,87";"2";"0,98";208;"NO FUTURO EU SO"
373;"Um ótimo emprego, um marido exemplar, uma ótima casa, 2 filhos, dando uma vida melhor aos meus pais                                                                                                             ";.;4;4;3;"Não2";"Não1";1;13;8;"3,87";"2,49";"1,59";208;"UM ÓTIMO EMPREG"
374;"viajando pelo mundo, formada, trabalhando como advogada,                                                                                                                                                        ";.;3;1;2;"Não2";"Não2";1;14;8;"3,87";"2,66";"1,32";208;"VIAJANDO PELO M"
375;"Eu imagino que seje muito bom primeiro que fazer um curso superio e depois uma facudade e depois ter casa e filho,                                                                                              ";.;4;4;2;"Não1";"Não1";1;13;8;"3,87";"4";"1,73";208;"EU IMAGINO QUE "
376;"Eu quero está formado e com muita saúde                                                                                                                                                                         ";.;4;5;3;"Não1";"Não1";2;14;9;"3,88";"1";"1,7";208;"EU QUERO ESTÁ F"
378;"sendo jogador de futebol                                                                                                                                                                                        ";.;5;3;3;"Não1";"Não1";2;11;6;"3,88";"1,44";"1";208;"SENDO JOGADOR D"
380;"Vivendo com um monte de gatos e fazendo quadros, e viajando por todo o mundo e mostrando meus quadros                                                                                                           ";.;4;4;3;"Não2";"Não1";1;13;8;"3,88";"3";"1,48";208;"VIVENDO COM UM "
381;"Com mais saúde, sem vandalos                                                                                                                                                                                    ";.;5;5;3;"Não2";"Não2";1;12;6;"3,88";"3,08";"1,82";208;"COM MAIS SAÚDE,"
382;"Em Uma cadeira, uma mesa e uma computador, (Essa vai ser minha vida mesmo ;-;)                                                                                                                                  ";.;3;4;2;"Não2";"Não1";2;14;9;"3,89";"1,45";"1,62";208;"EM UMA CADEIRA,"
383;"No futuro eu quero ser bem grande ter um filho e uma casa bem grande                                                                                                                                            ";.;3;3;2;"Não1";"Não1";1;12;6;"3,89";"1,5";"1,02";208;"NO FUTURO EU QU"
384;"Bem, eu gostaria de estar  UnB fazendo Engenharia Civil e arquitetura e termindo o curso de inglês e francês,                                                                                               ";.;4;.;3;"Não1";"Não1";1;13;8;"3,89";"1,81";"1,04";204;"BEM, EU GOSTARI"
385;"Me imagino com um bom emprego, boas condições finceiras                                                                                                                                                       ";.;3;2;2;"Não1";"Não1";1;12;7;"3,89";"2,43";"1,46";206;"ME IMAGINO COM "
386;"ter uma casa propria, um marido e um emprego e criança,                                                                                                                                                         ";.;5;3;3;"Não1";"Não1";1;13;7;"3,89";"3,49";"1,41";208;"TER UMA CASA PR"
387;"Eu imagino, eu trabalhando como juiza, tendo uma casa propria, tendo marido e filhos,                                                                                                                           ";.;5;1;2;"Não2";"Não2";1;13;8;"3,9";"1,35";"1,13";208;"EU IMAGINO, EU "
388;"uma pessoa boa que ajuda o próximo                                                                                                                                                                              ";.;5;4;3;"Não1";"Não1";1;11;6;"3,9";"1,74";"0,95";208;"UMA PESSOA BOA "
389;"Com uma família, faculdade feita e ver minha mãe comigo,                                                                                                                                                        ";.;4;4;3;"Não1";"Não1";1;.;9;"3,9";"2,07";"1,16";208;"COM UMA FAMÍLIA"
390;"Eu morando em Vancouver no Cadá, Viajando muito, para s países como, Portugal, Escócia, França, Estados Unidos e s, ah Quero também fazer um curso de iglês no meu 1 do ensino médio,        ";.;3;4;2;"Não2";"Não1";2;14;9;"3,9";"3,32";"1,12";189;"EU MORANDO EM V"
391;"Com estudos completo com uma familia e amigos do lado                                                                                                                                                           ";.;4;3;2;"Não2";"Não1";2;14;9;"3,9";"3,97";"1,61";208;"COM ESTUDOS COM"
392;"me imagino formada, com um bom emprego, tendo uma boa condição de vida e podendo dar o melhor para mim e para meus pais,                                                                                        ";.;4;4;2;"Não2";"Não1";1;13;9;"3,9";"3,97";"1,64";208;"ME IMAGINO FORM"
393;"me vejo trabalhando, com família,,,                                                                                                                                                                             ";.;4;4;3;"Não1";"Não2";2;11;6;"3,91";"3,98";"1,74";208;"ME VEJO TRABALH"
394;"Eu me imagino no futuro formada em medici ou em artes cênicas ou então sendo estilista,                                                                                                                       ";.;5;3;3;"Não1";"Não2";1;12;7;"3,91";"4,03";"1,89";206;"EU ME IMAGINO N"
395;"não sei                                                                                                                                                                                                         ";.;5;4;2;"Não1";"Não2";1;13;6;"3,92";"0,96";"0,96";208;"NÃO SEI        "
396;"Com um bom trabalho e bem de vida                                                                                                                                                                               ";.;3;4;3;"Não2";"Não1";2;12;7;"3,92";"1,41";"1,94";208;"COM UM BOM TRAB"
397;"que eu tenha um bom emprego que minha vida seja legal                                                                                                                                                           ";.;4;4;2;"Não2";"Não1";2;13;8;"3,92";"1,65";"1,45";208;"QUE EU TENHA UM"
398;"eu quero que no meu futuro eu seja uma pessoa bem sucedida                                                                                                                                                      ";.;5;4;3;"Não1";"Não1";1;12;6;"3,92";"2,26";"1,12";208;"EU QUERO QUE NO"
399;"Eu sendo Ingeiro (sic) Eletrico muito feliz                                                                                                                                                                     ";.;5;4;2;"Não1";"Não1";2;12;7;"3,92";"2,5";"1,01";208;"EU SENDO INGEIR"
400;"Com um ótimo emprego, trabalhando de policial tendo uma casa, um carro, uma família (palavra incompreensível) e tendo dinheiro para sustentala (sic)                                                            ";.;4;3;2;"Não1";"Não1";2;12;7;"3,92";"2,77";"2,19";208;"COM UM ÓTIMO EM"
401;"Eu ainda não imagino o meu futuro                                                                                                                                                                               ";.;3;4;2;"Não2";"Não2";1;13;7;"3,93";"2,73";"2,57";208;"EU AINDA NÃO IM"
402;"Espero estar formada, com uma condição finceira boa e feliz,                                                                                                                                                  ";.;5;4;3;"Não2";"Não2";1;.;9;"3,94";"1,98";"1,34";206;"ESPERO ESTAR FO"
403;"Eu imagino meu futuro; estudando, trabalhando, tendo minha casa, vivendo sem depender dos s,                                                                                                               ";.;5;4;2;"Não2";"Não1";1;13;8;"3,94";"2,31";"1,15";203;"EU IMAGINO MEU "
404;"Formada em medici e feliz                                                                                                                                                                                     ";.;4;2;2;"Não2";"Não1";1;12;7;"3,95";"1,97";"1,63";206;"FORMADA EM MEDI"
405;"Uma artista famosa bem sucedida casada 2 filhos numa casa grande                                                                                                                                                ";.;5;4;3;"Não1";"Não2";1;12;7;"3,95";"2,25";"1,28";208;"UMA ARTISTA FAM"
406;"uma Meninas boa, legal e talentosa                                                                                                                                                                               ";.;3;3;2;"Não1";"Não1";1;11;6;"3,95";"3,41";"1,04";209;"UMA MENINAS BOA"
407;"Sendo uma veteriria poficiol para cuidar de todos os animais doentes                                                                                                                                        ";.;5;5;2;"Não1";"Não1";1;12;7;"3,96";"1,05";"1,5";204;"SENDO UMA VETER"
408;"como pesquisadora aprendendo coisas novas                                                                                                                                                                       ";.;5;4;3;.;"Não1";1;11;6;"3,96";"2,52";"1,03";208;"COMO PESQUISADO"
409;"Eu sendo uma oftomologista                                                                                                                                                                                      ";.;5;4;3;"Não1";"Não1";1;13;7;"3,97";"0,93";"1,33";208;"EU SENDO UMA OF"
410;"Eu imagino minha vida feliz, eu com um bom emprego, uma familia, e um casamento bem sucedido                                                                                                                    ";.;4;4;2;"Não1";"Não1";1;14;9;"3,97";"1,21";"0,95";208;"EU IMAGINO MINH"
411;"Imagino que vou ser doutora uma médica pós-graduada com um apartament e sem filhos                                                                                                                              ";.;4;3;3;"Não2";"Não1";1;10;6;"3,97";"1,71";"1,62";208;"IMAGINO QUE VOU"
412;"Eu imagino ou trabalhando tendo uma vida boa tendo minha casa e a minha família e ajudando minha mãe com o que ela precisar                                                                                     ";.;5;4;2;"Não1";"Não1";1;12;7;"3,97";"1,75";"1,12";208;"EU IMAGINO OU T"
413;"Jogar Futebol, ter cons trabalhos como advogado etc,                                                                                                                                                            ";.;5;4;3;"Não1";"Não1";2;12;7;"3,97";"1,75";"1,38";208;"JOGAR FUTEBOL, "
414;"Rica, família estruturada, emprego excelente,casada                                                                                                                                                             ";.;5;3;2;"Não1";"Não1";1;12;7;"3,97";"1,98";"1,05";208;"RICA, FAMÍLIA E"
